target,initiator,asset,amount,premium,referralCode,blockNumber,txHash
0x135896DE8421be2ec868E0b811006171D9df802A,0xC3eA748297064e74fe01E6E2fE7c8764C48B29fE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,16000000000000000000,14400000000000000,0,14172421,0xcefd70d9c5c35fb9016cf955013fd432b68925cba83af52c50ff5bea5a6f049b
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xCA1B716Ff85F4f44Ed9B9b3a20c5068722d5F92E,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,35925998283,32333398,0,14173268,0xdd1f53f0c56d74d304079c472cb1651daa54521e0ffc6aeac6b68f634d9c03c7
0xbcC4371cc40592794bF5b727C17cf7DE37Ac180A,0x60eC6FA4716Fe867A726920b6154Cb4d569EE2e1,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3318688683,2986819,0,14173528,0x35afba87352699352a609bed2fd9650d6e8009fcc5c6dfa0fcb17d4cba7a6613
0xbcC4371cc40592794bF5b727C17cf7DE37Ac180A,0x60eC6FA4716Fe867A726920b6154Cb4d569EE2e1,0xdAC17F958D2ee523a2206206994597C13D831ec7,1140263826,1026237,0,14173528,0x35afba87352699352a609bed2fd9650d6e8009fcc5c6dfa0fcb17d4cba7a6613
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0xc09d86f59d25E24DF5D6168fE11bE9145D9aF709,0x6B175474E89094C44Da98b954EedeAC495271d0F,78450768091961656790845,70605691282765491111,64,14173826,0x3d62fc5bee7cc9b788380bd76f29994f7316fd94bb1071b36b43a1a7dfc49f91
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0x34b0F030fc16c9558280af945247d909BEca653e,0x6B175474E89094C44Da98b954EedeAC495271d0F,30380130118508228141863,27342117106657405327,64,14173889,0xf4a436c8cf1f3c74838b731d8e0306126e078bd26c72b4a949e84cec15b4ead5
0x135896DE8421be2ec868E0b811006171D9df802A,0x20288c00BFF0a616a1Ec9E7d351948F1Ef77b974,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,100000000000,90000000,0,14174567,0x86fabd43b057650e38d9874ea9d6c87374d157d9f46da775612b4d7befe282e2
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x0cb98102De403c91b432435c27B74B8C4BfCAF1e,0x6B175474E89094C44Da98b954EedeAC495271d0F,3485116138241986000000,3136604524417787400,0,14175358,0x70ff245533d8f86269b5781839d1c15a052457108ca4c4674ddd402d0bb73494
0x59dAa74f2D15c87Aac435eC18Cb559f92490C100,0x59dAa74f2D15c87Aac435eC18Cb559f92490C100,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,150000000000000000,135000000000000,56,14175493,0xd005fe62cac1a997286e95f9b41ccc7eb3f43aaab4053959285b5dddbe374b06
0x59dAa74f2D15c87Aac435eC18Cb559f92490C100,0x59dAa74f2D15c87Aac435eC18Cb559f92490C100,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,150000000000000000,135000000000000,56,14175708,0xcb063f0d24e1dcf38d3a0f18138f98ecbf2db79be37098a3ecefa8af4475886e
0x135896DE8421be2ec868E0b811006171D9df802A,0xcda460bb03E11C7E451d01DF1D8307Fb78ce0f4c,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,45000000000,40500000,0,14176569,0x140b697d85b5c6c8273535866e428f70a6f063b938de74c55f9fd1bd738711e9
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xD8C22132684460E9d4cBE5d4d53ed79DB2eE936C,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,49728067,44755,0,14176954,0xdce7a4ae11be9eba6906309ee51480204584a2b64bad835dff06b41b95a423cc
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0xe4763E10328edD0e5302c11DfB5fdB49399EdF38,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,9058048905,8152244,64,14177739,0x23c2d3bdef5cd55b4aada8f790f6e5e5dbfb591c96b47afea8c7b3dc44bbaa4a
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0xc09d86f59d25E24DF5D6168fE11bE9145D9aF709,0x6B175474E89094C44Da98b954EedeAC495271d0F,75475629158402715865844,67928066242562444279,64,14177819,0x763fda3bbb4c0bed0d937d4ec0e0eae1bebef4a4329bb5ac795ab46bfe455f5e
